Nro. de Mov.,Nro. de Boleto,Tipo Mov.,Concert.,Liquid.,Est,Cant. titulos,Precio,Comis.,Iva Com.,Otros Imp.,Monto,Observaciones,Tipo Cuenta
170662288,0,Compra(TZX26),15/04/26,15/04/26,Terminada,48625,"375,25","547,40","0,00","18,25","-183.030,96",,Inversion Argentina Pesos
170643003,0,Compra(SLB),15/04/26,16/04/26,Terminada,15,25540,"1.149,30","241,35","324,49","-384.815,14",,Inversion Argentina Pesos
170648549,0,Compra(ASML),15/04/26,15/04/26,Terminada,58,14470,"2.517,78","528,73","710,85","-843.017,36",,Inversion Argentina Pesos
170644959,0,Compra(SPY),15/04/26,16/04/26,Terminada,15,51150,"2.301,75","483,37","649,87","-770.684,99",,Inversion Argentina Pesos
170644760,0,Compra(XLV),15/04/26,16/04/26,Terminada,78,7555,"1.767,87","371,25","499,13","-591.928,25",,Inversion Argentina Pesos
170642921,0,Compra(VIST),15/04/26,16/04/26,Terminada,12,32060,"1.154,16","242,37","325,85","-386.442,38",,Inversion Argentina Pesos
170642938,0,Compra(XOM),15/04/26,16/04/26,Terminada,17,21780,"1.110,78","233,26","313,61","-371.917,65",,Inversion Argentina Pesos
170642958,0,Compra(XLE),15/04/26,16/04/26,Terminada,9,40880,"1.103,76","231,79","311,62","-369.567,17",,Inversion Argentina Pesos
170642518,0,Compra(MSFT),15/04/26,16/04/26,Terminada,5,19650,"294,75","61,90","83,22","-98.689,87",,Inversion Argentina Pesos
70597569,2770887,Depósito de Fondos - Transferencia electrónica - BANCO SUPERVIELLE S.A.,10/04/26,10/04/26,Terminada,0,0,"0,00","0,00","0,00","1.500.000,00",,Inversion Argentina Pesos
70597544,2770865,Depósito de Fondos - Transferencia electrónica - BANCO SUPERVIELLE S.A.,10/04/26,10/04/26,Terminada,0,0,"0,00","0,00","0,00","2.500.000,00",,Inversion Argentina Pesos
169939121,8394135,Compra(COPX),08/04/26,09/04/26,Terminada,11,"86,972,727","287,01","60,27","81,03","-96.098,31",,Inversion Argentina Pesos
169902906,8372205,Compra(NU),08/04/26,09/04/26,Terminada,44,11050,"1.458,60","306,31","411,81","-488.376,72",,Inversion Argentina Pesos
169900333,8370487,Venta(VIST),08/04/26,09/04/26,Terminada,19,31000,"1.767,00","371,07","498,88","586.363,05",,Inversion Argentina Pesos
169150927,8084238,Suscripción FCI(IOLCAMA),01/04/26,01/04/26,Terminada,477,"109,655","0,00","0,00","0,00","-5.236,62",,Inversion Argentina Pesos
168454707,7648815,Compra(TX26),27/03/26,27/03/26,Terminada,81546,"13,132,324","5.354,44","0,00","107,09","-1.076.349,99",,Inversion Argentina Pesos
168142906,7540284,Rescate FCI(IOLCAMA),25/03/26,26/03/26,Terminada,50000,"108,866","0,00","0,00","0,00","544.332,05",,Inversion Argentina Pesos
168142895,7440572,Venta(URA),25/03/26,26/03/26,Terminada,35,"145,428,571","2.545,00","534,45","431,12","505.489,43",,Inversion Argentina Pesos
166704839,6767019,Compra(VIST),12/03/26,13/03/26,Terminada,3,29700,"445,50","93,56","75,47","-89.714,53",,Inversion Argentina Pesos
166542921,6671509,Compra(VIST),11/03/26,12/03/26,Terminada,16,29360,"2.348,80","493,25","397,88","-472.999,93",,Inversion Argentina Pesos
166517575,6657959,Compra(MSFT),11/03/26,12/03/26,Terminada,24,19920,"2.390,40","501,98","404,94","-481.377,32",,Inversion Argentina Pesos
166451768,6592086,Compra(TZX26),10/03/26,10/03/26,Terminada,420875,"352,9","7.426,34","0,00","148,53","-1.492.842,75",,Inversion Argentina Pesos
166219868,6525448,Suscripción FCI(IOLCAMA),09/03/26,09/03/26,Terminada,102472,"107,346","0,00","0,00","0,00","-1.100.000,00",,Inversion Argentina Pesos
166223734,6442094,Compra(GLD),09/03/26,10/03/26,Terminada,105,13960,"7.329,00","1.539,09","886,81","-1.475.554,90",,Inversion Argentina Pesos
166224027,6432405,Compra(GGAL),09/03/26,10/03/26,Terminada,161,"6,123,323","4.929,28","1.035,15","596,44","-992.415,87",,Inversion Argentina Pesos
166224070,6432307,Compra(MELI),09/03/26,10/03/26,Terminada,22,21710,"2.388,10","501,50","288,96","-480.798,56",,Inversion Argentina Pesos
166223765,6432268,Compra(COPX),09/03/26,10/03/26,Terminada,59,8320,"2.454,40","515,42","296,98","-494.146,80",,Inversion Argentina Pesos
166223818,6432283,Compra(URA),09/03/26,10/03/26,Terminada,68,"144,389,706","4.909,25","1.030,94","594,02","-988.384,21",,Inversion Argentina Pesos
69567315,2024574,Depósito de Fondos - Transferencia electrónica - BANCO SUPERVIELLE S.A.,08/03/26,08/03/26,Terminada,0,0,"0,00","0,00","0,00","4.000.000,00",,Inversion Argentina Pesos
69567276,2024535,Depósito de Fondos - Transferencia electrónica - BANCO SUPERVIELLE S.A.,08/03/26,08/03/26,Terminada,0,0,"0,00","0,00","0,00","4.000.000,00",,Inversion Argentina Pesos
69566858,2024117,Depósito de Fondos - Transferencia electrónica - BANCO SUPERVIELLE S.A.,08/03/26,08/03/26,Terminada,0,0,"0,00","0,00","0,00","100.000,00",,Inversion Argentina Pesos
Operaciones Historicas del periodo 1/3/2026 hasta 15/4/2026,,,,,,,,,,,,,
